brand,conversion_rate(%)
rainbo,1.009152781037315
alis,1.0087147464489123
casio,1.007976159172583
huile,1.007705986959099
deluxe,1.0068872585716424
granhel,1.0060820405647992
spinmop,1.0052447552447552
maxtrek,1.0052162573353618
tech-line,1.0036801605888257
calorie,1.002049647005238
satura,1.0017752979964494
alteco,1.0002244093226043
swisshome,1.0000421958732435
gf,0.9986150594066623
inoi,0.9983083060086464
arrivo,0.9982638888888888
electrolux,0.9973577059689854
pasabahce,0.9967866745360352
hobbyworld,0.9966777408637874
musclepharm,0.9966777408637874
santeri,0.9961606309017329
husqvarna,0.9959257582616569
garrett,0.9946081767261687
axis,0.9941115344648425
panouge,0.9940357852882704
art-visage,0.9933774834437087
d-clinic,0.9933774834437087
candy,0.9932768891413174
verbatim,0.9915014164305949
wonderlab,0.9915014164305949
wagner,0.990916597853014
gamemax,0.9901980396079215
edelform,0.9900990099009901
kawai,0.989068193649141
calvinklein,0.9887005649717515
davidoff,0.9882643607164917
ducray,0.9857612267250823
cullmann,0.9852216748768473
mauboussin,0.9852216748768473
petro-canada,0.9832272990167726
sakura,0.98159509202454
microsoft,0.9804264855212017
batik,0.9803921568627451
botas,0.9803921568627451
ga-de,0.9798775153105862
nakamichi,0.9794824208681308
fly,0.9792004321988115
toro,0.9786004834050581
magicbeartoys,0.9771986970684038
logitech,0.9761109684048292
crown,0.9736292544210432
phantom,0.9735416503101202
granicom,0.9716599190283401
fisher-price,0.9711779448621554
nutrilak,0.9708737864077669
larocheposay,0.9708737864077669
ams,0.9685230024213075
razer,0.967925602581135
bernina,0.9671179883945842
garnier,0.9667571234735414
hp,0.9667414336943656
wingo,0.9658725048293626
mystery,0.9649608479000238
brother,0.9645020724837922
topface,0.9638554216867471
sokolov,0.9630951641020633
softoy,0.9628610729023385
sinotex,0.9627459187944746
allocacoc,0.9615384615384616
troyka,0.9610983981693364
babys,0.9599470374048328
sports,0.9592326139088728
dinastia,0.9586692908386769
arpenaz,0.9584664536741214
nutribullet,0.9578544061302682
shakira,0.9577464788732395
falmec,0.9569377990430622
marley,0.9564293304994688
csmedica,0.9541984732824428
mancera,0.9540164090822362
byredo,0.9533537623425264
sksportivnaakollekcia,0.9528346831824679
arnica,0.9527597490644153
huion,0.9515407398071712
teamgroup,0.9508716323296356
wahl,0.9507346585998271
flexter,0.949367088607595
afnan,0.9490667510281556
altenzo,0.9487666034155597
acuvue,0.9487283003633428
turbo,0.9483133053424063
kolo,0.9473684210526316
lalique,0.9445100354191263
shaik,0.9444444444444444
ssm,0.9433962264150944
eveline,0.9433962264150944
groundzero,0.9433962264150944
energizer,0.9433962264150944
vihr,0.9424524824935502
lexmark,0.9416195856873822
jvc,0.9402441636324695
pride,0.9358593928326865
wonlex,0.9352731591448931
aquamarine,0.9345311854605534
gabor,0.9331259720062209
domyos,0.9328919650917845
machaon,0.9320109929501732
bravis,0.9316770186335404
urgaz,0.9302325581395349
walkmaxx,0.9302325581395349
darina,0.9302031259887364
gopro,0.9294054489330291
admira,0.9287925696594427
epr,0.927414368739953
ecotex,0.9273136005994754
cailyn,0.9271523178807948
bosch,0.9262066855712329
mikasa,0.9259259259259258
atlant,0.9247805313234341
x-game,0.924610423291162
bioderma,0.9236878453038675
incanto,0.923281057073881
k.k.y.,0.9230769230769231
keter,0.9208103130755065
rockstargames,0.9205020920502093
kambrook,0.9202453987730062
doupro,0.9202453987730062
akel,0.9202453987730062
diamondunion,0.9176018352036704
tesler,0.9174311926605505
cocoonababy,0.9174311926605505
standard,0.9174311926605505
sariel,0.9148486980999296
libero,0.9146341463414633
pioneer,0.914459442251369
whistler,0.913937547600914
stihl,0.9136174683659952
zapco,0.91324200913242
intro,0.9130982367758186
delsey,0.9129111722938704
turboair,0.9116541353383458
avene,0.9113264863301027
plextor,0.9104704097116844
vichy,0.910411622276029
bonita,0.9101251422070534
rextor,0.9098786828422877
ogiz,0.9090909090909091
kitfort,0.9090272182716223
takeit,0.9084556254367574
energolux,0.904977375565611
compliment,0.9041591320072333
initioparfumsprives,0.9036144578313252
uomo,0.9036144578313252
rant,0.9029484029484028
sandisk,0.902668759811617
hansa,0.9026559426431833
nuna,0.9020295665246805
resanta,0.9019075744273287
danielklein,0.9018311992289687
neptun,0.9009009009009009
strunal,0.9009009009009009
steppuzzle,0.8999470619375332
desatoekorolevstvo,0.8995502248875562
autojet,0.8988764044943821
iddis,0.8986928104575163
helios,0.8982035928143712
babor,0.897196261682243
gesso,0.8958566629339306
santek,0.8957654723127036
gewa,0.8955635161201433
efremov,0.894336744088171
usams,0.893216924110141
delonghi,0.8931136238999295
planetaorganica,0.8928571428571428
nortec,0.8904109589041096
tucano,0.8903728436282694
beyblade,0.8896797153024912
uno,0.8895131086142322
merkurij,0.8888888888888888
proma,0.8888888888888888
nexttab,0.888523241464418
alphard,0.8878658336073659
nadoba,0.8878127522195319
fendi,0.8860759493670887
umi,0.8854993090034294
stavia,0.8849557522123894
zelmer,0.8839623965202751
xing,0.8827049670855776
smiger,0.8823529411764706
skytech,0.8820286659316428
ivaru,0.881057268722467
hygge,0.8792009156175216
d-link,0.8791360930361345
coopervision,0.8775595486836606
sega,0.8774780630484237
yegam,0.8771929824561403
kingmeda,0.8771929824561403
spider-man,0.8771929824561403
vitaluce,0.8767123287671232
karcher,0.875803596384981
lumene,0.8755703539277346
